iter	Logloss
0	0.6773155438
1	0.6626931218
2	0.6497221114
3	0.6365797727
4	0.6246868915
5	0.6120351603
6	0.6027038048
7	0.5913305573
8	0.5810912903
9	0.5721628855
10	0.5633828501
11	0.5556813939
12	0.5474493961
13	0.5396052724
14	0.5325413067
15	0.5266214254
16	0.5209015554
17	0.5158418984
18	0.50973482
19	0.5048235116
20	0.5004729645
21	0.4967801411
22	0.4927193425
23	0.4881406334
24	0.483894738
25	0.4810319575
26	0.4780795408
27	0.4752374215
28	0.4720765704
29	0.4694437146
30	0.4660360357
31	0.4639057211
32	0.4609310334
33	0.4582030397
34	0.4559032588
35	0.4533805261
36	0.4509001332
37	0.4486562042
38	0.4467627026
39	0.444331167
40	0.4426203925
41	0.4409493726
42	0.4392491779
43	0.437519238
44	0.4356659718
45	0.4343538368
46	0.4327499021
47	0.4315137511
48	0.4301362772
49	0.4289095754
50	0.4273972696
51	0.4262493012
52	0.4252091525
53	0.4238230922
54	0.4227457531
55	0.4215762733
56	0.4201649878
57	0.419101328
58	0.4178149296
59	0.4166762408
60	0.4158708217
61	0.4148585237
62	0.4137463511
63	0.4127997409
64	0.4118620194
65	0.4110354811
66	0.4101248207
67	0.4090560086
68	0.4083301043
69	0.4075114905
70	0.4068885432
71	0.4061183692
72	0.4054728762
73	0.404830124
74	0.4041318916
75	0.4033872474
76	0.4026084506
77	0.4017670942
78	0.4011333675
79	0.4005603658
80	0.3999491314
81	0.3994162193
82	0.3987085862
83	0.398221092
84	0.397636254
85	0.3972806843
86	0.3967505106
87	0.3961032682
88	0.3955938191
89	0.3951516433
90	0.39436978
91	0.3941038482
92	0.3935786009
93	0.393013221
94	0.3926709822
95	0.3921430733
96	0.3917914736
97	0.3914039986
98	0.3910424975
99	0.3905730692
100	0.3902042336
101	0.3898151106
102	0.3892844975
103	0.3891980144
104	0.3886749356
105	0.3882827022
106	0.3879056294
107	0.3872603627
108	0.3868650198
109	0.3866297593
110	0.3862247845
111	0.3859366049
112	0.3855353414
113	0.385071006
114	0.3847019655
115	0.3844593433
116	0.3840499249
117	0.3837842152
118	0.3833427508
119	0.3830527038
120	0.3827484415
121	0.3824173251
122	0.381986926
123	0.3815517175
124	0.3811495556
125	0.3809769713
126	0.380581842
127	0.3803139517
128	0.3798711686
129	0.3795836796
130	0.379188678
131	0.3788190636
132	0.3785353867
133	0.378077778
134	0.3776391504
135	0.377335201
136	0.3770662119
137	0.3768472628
138	0.3766751164
139	0.3763599667
140	0.3760702888
141	0.3758179184
142	0.3756889834
143	0.3754760857
144	0.3750857461
145	0.3749082651
146	0.3747530607
147	0.3744225485
148	0.3742104516
149	0.3740260261
150	0.3737538169
151	0.3735250145
152	0.3733407915
153	0.3731422541
154	0.3729022007
155	0.3725962545
156	0.3724423598
157	0.3722248384
158	0.3718965615
159	0.3715979825
160	0.3712279356
161	0.3710699752
162	0.370777318
163	0.3705938493
164	0.3703404725
165	0.3701964031
166	0.3700024219
167	0.3698017496
168	0.3694539353
169	0.3692032989
170	0.3690733735
171	0.3688537201
172	0.36871534
173	0.3686458306
174	0.3683046629
175	0.3680906868
176	0.3678380557
177	0.3677629212
178	0.3674757372
179	0.3674170807
180	0.3671602559
181	0.3669985482
182	0.3669337916
183	0.366770768
184	0.3665980742
185	0.366417975
186	0.3661175275
187	0.3660074338
188	0.3659370009
189	0.3657809738
190	0.3656707904
191	0.3656323436
192	0.3655092035
193	0.3653904826
194	0.3651957745
195	0.3651046811
196	0.3648940439
197	0.3648259685
198	0.3646236943
199	0.3645574854
200	0.3644487012
201	0.3641987655
202	0.3640634882
203	0.3639267427
204	0.3636917333
205	0.36341115
206	0.3631182992
207	0.3630085641
208	0.3629844489
209	0.3627903378
210	0.3627141832
211	0.3626675867
212	0.3626264626
213	0.3625082649
214	0.3622816209
215	0.3622243073
216	0.3621236392
217	0.3618048381
218	0.3616850561
219	0.3615607658
220	0.3611737701
221	0.360887631
222	0.3607261797
223	0.3605967325
224	0.3603879017
225	0.360245616
226	0.3600468747
227	0.3598901279
228	0.3598347298
229	0.3597116406
230	0.3594518608
231	0.3594204026
232	0.359411933
233	0.3593415203
234	0.3592636631
235	0.3591066773
236	0.3588849194
237	0.3587969434
238	0.3585430687
239	0.3584853474
240	0.3584059931
241	0.3581731476
242	0.3579685745
243	0.3577021479
244	0.3576396441
245	0.3576280801
246	0.3575494591
247	0.3574581651
248	0.357415009
249	0.3573253505
250	0.357269659
251	0.3570916673
252	0.3570456596
253	0.3569128772
254	0.3566435208
255	0.3565035133
256	0.3563437911
257	0.3562620098
258	0.3562477902
259	0.35619785
260	0.3561405079
261	0.3559248767
262	0.3558008257
263	0.3557493703
264	0.355580925
265	0.3554053425
266	0.3553157138
