iter	Logloss
0	0.6837125558
1	0.6763839444
2	0.6689418562
3	0.6613720003
4	0.6547177071
5	0.6487524026
6	0.6403976557
7	0.6359155567
8	0.6306475903
9	0.6274561671
10	0.622150499
11	0.6178069526
12	0.6150215032
13	0.6129596791
14	0.6090149412
15	0.6068994405
16	0.6033981175
17	0.6014152725
18	0.5994513318
19	0.5961859261
20	0.5944525107
21	0.5927683258
22	0.5906899995
23	0.5872439287
24	0.5853193877
25	0.5830270564
26	0.5814491416
27	0.5802758832
28	0.578644414
29	0.5776095613
30	0.5753673489
31	0.5743078312
32	0.5733989194
33	0.5724508744
34	0.5706647407
35	0.5695778499
36	0.5678301547
37	0.567208678
38	0.5663892208
39	0.5635635299
40	0.5626344216
41	0.5618339913
42	0.5612432759
43	0.5598762105
44	0.5590315016
45	0.5575898265
46	0.557306455
47	0.5566215947
48	0.5558361087
49	0.5543343639
50	0.5526162268
51	0.5521572828
52	0.5516995854
53	0.5504825922
54	0.5501804458
55	0.5497300712
56	0.548969707
57	0.5483660188
58	0.5478623761
59	0.5475713237
60	0.5472007074
61	0.5466365586
62	0.546145046
63	0.5456979184
64	0.5452792952
65	0.5448219087
66	0.544350193
67	0.543938302
68	0.543008241
69	0.5423809177
70	0.5419837129
71	0.5417571771
72	0.5415075634
73	0.5408554632
74	0.540495854
75	0.5396978626
76	0.5394778892
77	0.5391117615
78	0.5384217242
79	0.5381410478
80	0.5376684346
81	0.537423207
82	0.537053746
83	0.536659459
84	0.5364346027
85	0.5356572533
86	0.5354502744
87	0.5353060318
88	0.5350397845
89	0.5346672213
90	0.5341819842
91	0.5339542494
92	0.5337951166
93	0.5332179939
94	0.5329529998
95	0.5326728066
96	0.532486639
97	0.5323267464
98	0.5321713022
99	0.5320139817
100	0.53182227
101	0.5316613035
102	0.5314655054
103	0.5312514255
104	0.5310859538
105	0.5308940746
106	0.5306206771
107	0.5304178563
108	0.5303029551
109	0.5300752818
110	0.5298040537
111	0.5296247358
112	0.5294429083
113	0.5292593156
114	0.5291370005
115	0.5285764388
116	0.5281972764
117	0.5278818488
118	0.5275564139
119	0.5274110392
120	0.5273309722
121	0.5269568493
122	0.5267857234
123	0.526490992
124	0.526422905
125	0.5262415945
126	0.5261189535
127	0.5257120626
128	0.5254984424
129	0.5253739728
130	0.525231499
131	0.5249975476
132	0.5249287811
133	0.5248357689
134	0.5246541837
135	0.5246002575
136	0.5245205063
137	0.5244250551
138	0.5243476218
139	0.5241950451
140	0.5241181616
141	0.5239313828
142	0.5238527492
143	0.5237587162
144	0.5235290732
145	0.5234815848
146	0.5233507413
147	0.5231880059
148	0.522885987
149	0.5227643506
150	0.5226886693
151	0.5225799543
152	0.5225295006
153	0.5224474534
154	0.52219601
155	0.5221062956
156	0.5219179451
157	0.5218511576
158	0.5217432974
159	0.5216646836
160	0.5215733759
161	0.5214947324
162	0.5212937038
163	0.5210846687
164	0.5209542155
165	0.5208107129
166	0.5206898936
167	0.520593938
168	0.5204746929
169	0.5203943477
170	0.520305629
171	0.5200923134
172	0.5198406975
173	0.5197369418
174	0.5196652821
175	0.5195332302
176	0.5194663852
177	0.5193632154
178	0.5192111845
179	0.5191493743
180	0.5190455554
181	0.5188371223
182	0.5187816819
183	0.5186978575
184	0.5186327303
185	0.5185119768
186	0.5184557284
187	0.5183768026
188	0.5181885745
189	0.5180815175
190	0.5179857538
191	0.5179127754
192	0.5177917075
